Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-19,Oldboy,2003,https://boxd.it/5D8k6v,4.5,,,2024-01-18
2024-01-26,Egghead & Twinkie,2023,https://boxd.it/5GAM9F,4,,,2024-01-25
2024-01-27,Society of the Snow,2023,https://boxd.it/5H7Txv,5,,,2024-01-27
2024-01-28,The Zone of Interest,2023,https://boxd.it/5HryEv,4.5,,,2024-01-27
2024-02-03,Poor Things,2023,https://boxd.it/5KshW7,4,,,2024-02-02
2024-02-20,No One Knows About Persian Cats,2009,https://boxd.it/5SlpKV,,,,2024-02-19
2024-03-05,Dune: Part Two,2024,https://boxd.it/5YGgTv,4.5,,,2024-03-04
2024-03-30,Dream Scenario,2023,https://boxd.it/6aoFlb,4,,,2024-03-29
2024-04-17,Civil War,2024,https://boxd.it/6ieIcN,,,,2024-04-17
2024-04-17,Late Night with the Devil,2023,https://boxd.it/6ieJqV,,,,2024-04-17
2024-04-18,Vibrations from Gaza,2023,https://boxd.it/6iuXh1,,,,2024-04-17
2024-04-28,Tampopo,1985,https://boxd.it/6mwj2P,4.5,Yes,,2024-04-28
2024-05-11,All That Jazz,1979,https://boxd.it/6rYLR3,4.5,,,2024-05-09
2024-05-11,Perfect Days,2023,https://boxd.it/6rZPcb,5,,,2024-05-10
2024-06-03,Anatomy of a Fall,2023,https://boxd.it/6BxzvP,4.5,,,2024-06-02
2024-06-03,American Fiction,2023,https://boxd.it/6BxzRV,4,,,2024-06-02
2024-06-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/6BxAgr,4,,,2024-06-02
2024-07-10,Inside Out 2,2024,https://boxd.it/6QuHEz,,,,2024-07-09
2024-07-21,Longlegs,2024,https://boxd.it/6V4XJt,2.5,,,2024-07-20
2024-07-27,Despicable Me 4,2024,https://boxd.it/6Y4DK9,1,,,2024-07-26
2024-09-07,Challengers,2024,https://boxd.it/7gTB1P,4.5,,,2024-08-30
2024-11-07,A Real Pain,2024,https://boxd.it/7KaLHr,3.5,,,2024-11-03
2024-11-07,The Brutalist,2024,https://boxd.it/7KaLVt,4.5,,,2024-11-04
2024-11-08,In Bruges,2008,https://boxd.it/7KSiT7,,,,2024-11-07
2024-11-15,Police Story,1985,https://boxd.it/7Oqi2x,3.5,,,2024-11-15
2024-11-17,One Piece: Baron Omatsuri and the Secret Island,2005,https://boxd.it/7PtWIN,4,,,2024-11-17
2024-11-28,Beetlejuice Beetlejuice,2024,https://boxd.it/7UYQbP,1.5,,,2024-11-27
2024-12-01,"Night Is Short, Walk On Girl",2017,https://boxd.it/7WwW8f,,,,2024-11-30
2024-12-10,Conversation,,https://boxd.it/80MLjJ,,,,2024-12-09
2024-12-24,The Remarkable Life of Ibelin,2024,https://boxd.it/88RB3X,4.5,,,2024-12-23
2024-12-25,The Substance,2024,https://boxd.it/89GeSP,4,,,2024-12-25
2025-01-14,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8tb3k1,,,,2025-01-11
2025-01-14,We Live in Time,2024,https://boxd.it/8tb3T1,,,,2025-01-13
2025-01-21,Manchester by the Sea,2016,https://boxd.it/8yDp1L,,,,2025-01-20
2025-01-21,Hundreds of Beavers,2022,https://boxd.it/8yDpjv,4.5,,,2025-01-20
2025-01-21,Fallen Angels,1995,https://boxd.it/8yKNMl,,,,2025-01-20
2025-02-16,One of Them Days,2025,https://boxd.it/8QNT0Z,,,,2025-02-15
