Date,Name,Year,Letterboxd URI,Rating
2021-07-28,Minari,2020,https://boxd.it/mL9M,4
2021-07-28,Howl's Moving Castle,2004,https://boxd.it/23De,4.5
2021-07-28,Die Hard,1988,https://boxd.it/2a7u,4
2021-07-28,The Farewell,2019,https://boxd.it/kIky,4.5
2021-07-28,Nomadland,2020,https://boxd.it/lnRy,4
2021-07-28,The Gleaners and I,2000,https://boxd.it/S6c,4
2021-07-28,Sound of Metal,2019,https://boxd.it/i7Q4,4.5
2021-07-28,Free Solo,2018,https://boxd.it/iEEq,4
2021-07-28,Behemoth,2015,https://boxd.it/bQqG,4.5
2021-08-01,The Elephant Man,1980,https://boxd.it/27LQ,4
2021-08-06,The Green Knight,2021,https://boxd.it/kuy2,4
2021-08-06,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2021-08-06,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,4
2021-08-14,Amores Perros,2000,https://boxd.it/2bfu,4
2021-08-15,Judas and the Black Messiah,2021,https://boxd.it/lsew,4.5
2021-08-22,Annette,2021,https://boxd.it/f0RS,4
2021-09-06,If Beale Street Could Talk,2018,https://boxd.it/gGhu,5
2021-09-26,Weathering with You,2019,https://boxd.it/kPxE,3.5
2021-10-02,Titane,2021,https://boxd.it/nlQC,5
2021-10-11,Ponyo,2008,https://boxd.it/1S0A,5
2021-10-11,No Time to Die,2021,https://boxd.it/cPX2,3.5
2021-10-11,Carrie,1976,https://boxd.it/20ZQ,3.5
2021-10-11,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2021-10-11,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2021-10-15,Skyfall,2012,https://boxd.it/17Fc,4
2021-10-15,Knives Out,2019,https://boxd.it/jWEA,3.5
2021-10-16,I See You,2019,https://boxd.it/j2CS,3
2021-10-16,The Wicker Man,1973,https://boxd.it/1KnG,4
2021-10-17,Rushmore,1998,https://boxd.it/1TAO,4
2021-10-20,Rear Window,1954,https://boxd.it/2a6Q,4.5
2021-10-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2021-10-24,The French Dispatch,2021,https://boxd.it/jLP8,4.5
2021-10-27,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2021-10-27,Us,2019,https://boxd.it/gnV6,3.5
2021-10-27,Ghost in the Shell,1995,https://boxd.it/1YYc,3.5
2021-10-27,Jennifer's Body,2009,https://boxd.it/1Efw,3
2021-11-14,I Care a Lot,2020,https://boxd.it/mcHk,3
2021-11-14,The Lego Movie,2014,https://boxd.it/4pDO,4
2021-11-22,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2021-11-25,King Richard,2021,https://boxd.it/mJZ2,3.5
2021-11-26,The Electrical Life of Louis Wain,2021,https://boxd.it/mRa2,3.5
2021-12-10,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,4
2021-12-24,Dune,2021,https://boxd.it/fA7G,4
2021-12-26,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,4
2021-12-28,Licorice Pizza,2021,https://boxd.it/qTKY,4
2021-12-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2022-01-03,Red Rocket,2021,https://boxd.it/sGpi,3.5
2022-01-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,3.5
2022-01-09,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2022-01-15,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk,4
2022-01-15,The Tender Bar,2021,https://boxd.it/rgLq,2.5
2022-01-15,The House,2022,https://boxd.it/yVza,3.5
2022-01-30,Soul,2020,https://boxd.it/ioLA,4
2022-02-08,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2022-02-08,Jurassic Park,1993,https://boxd.it/2aA2,4
2022-02-08,Bao,2018,https://boxd.it/iEl4,4
2022-02-08,Vampyr,1932,https://boxd.it/29DY,3.5
2022-02-09,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2022-02-11,Spencer,2021,https://boxd.it/qPMG,4
2022-02-13,Jackass Forever,2022,https://boxd.it/opUg,4
2022-02-21,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2022-02-28,Encanto,2021,https://boxd.it/kPRu,2.5
2022-03-02,The Batman,2022,https://boxd.it/eDGs,3.5
2022-03-05,Concerning Violence,2014,https://boxd.it/7luu,5
2022-03-05,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2022-03-06,Over the Garden Wall,2014,https://boxd.it/eqFw,5
2022-03-25,The Hour of the Furnaces,1968,https://boxd.it/3a1S,4.5
2022-03-26,Caché,2005,https://boxd.it/2amY,4
2022-03-29,CODA,2021,https://boxd.it/tbf4,3.5
2022-03-29,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-04-09,Starship Troopers,1997,https://boxd.it/2a7k,3.5
2022-04-11,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2022-04-13,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2022-04-17,Five Broken Cameras,2011,https://boxd.it/2XF6,4.5
2022-04-17,Turning Red,2022,https://boxd.it/ipkq,4
2022-04-18,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2022-04-18,Human Flow,2017,https://boxd.it/gLUw,4
2022-05-03,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3.5
2022-05-03,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,4.5
2022-05-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,5
2022-05-08,The Northman,2022,https://boxd.it/nK2s,3.5
2022-05-11,Amélie,2001,https://boxd.it/2aUc,3.5
2022-05-20,Flee,2021,https://boxd.it/ponM,4
2022-05-25,Sorry to Bother You,2018,https://boxd.it/f21E,4
2022-05-26,Paprika,2006,https://boxd.it/23wW,4.5
2022-05-26,Jiro Dreams of Sushi,2011,https://boxd.it/2ONU,4
2022-05-27,Jackass 4.5,2022,https://boxd.it/vfTm,3.5
2022-05-27,Morbius,2022,https://boxd.it/j978,1
2022-05-29,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,3
2022-06-04,Back to the Future,1985,https://boxd.it/2b8e,4
2022-06-20,The Eyes of Tammy Faye,2021,https://boxd.it/mbB6,2.5
2022-07-01,Free Guy,2021,https://boxd.it/k8dm,2.5
2022-07-01,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,2.5
2022-07-04,"Rome, Open City",1945,https://boxd.it/2aD6,4
2022-07-11,GoodFellas,1990,https://boxd.it/29FA,4.5
2022-07-17,The Queen of Versailles,2012,https://boxd.it/2Y4A,4
2022-07-21,"Good Luck to You, Leo Grande",2022,https://boxd.it/stYk,3.5
2022-07-21,Fire of Love,2022,https://boxd.it/yoPY,3.5
2022-07-22,Nope,2022,https://boxd.it/sDCe,3.5
2022-08-03,Antichrist,2009,https://boxd.it/1Inu,3.5
2022-08-05,Gladiator,2000,https://boxd.it/2b9m,4
2022-09-03,Thirteen Lives,2022,https://boxd.it/q7O4,4
2022-09-08,The Diving Bell and the Butterfly,2007,https://boxd.it/27Di,3.5
