Model,Best_Iteration,Total_Iterations,Best_Train_RMSE,Best_Val_RMSE,Best_Overfitting_Score,Mean_Overfitting_Score,Std_Overfitting_Score,Max_Overfitting_Score,Min_Overfitting_Score,Overfitting_Severity
KNNBasic,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06773176077590809,0.05206961645789991,0.15987319703322556,0.023303356749169724,Low
KNNWithMeans,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.023303356749169724,0.0,0.023303356749169724,0.023303356749169724,Low
KNNBaseline,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06613325928871526,0.05111660788438317,0.1630393079346505,0.023303356749169724,Low
SVD,1,10,0.6285288855958462,0.7196626091561799,0.09113372356033367,0.13569236115906294,0.03319954547815213,0.16498442908688515,0.061018522809271336,Moderate
SVDpp,9,10,0.5712086241226823,0.7191866422820119,0.14797801815932965,0.11418640625454142,0.045149858848386154,0.16089180092347855,0.0337822422274896,High
