Model,Best_Iteration,Total_Iterations,Best_Train_RMSE,Best_Val_RMSE,Best_Overfitting_Score,Mean_Overfitting_Score,Std_Overfitting_Score,Max_Overfitting_Score,Min_Overfitting_Score,Overfitting_Severity
KNNBasic,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06773176077590809,0.05206961645789991,0.15987319703322556,0.023303356749169724,Low
KNNWithMeans,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.023303356749169724,0.0,0.023303356749169724,0.023303356749169724,Low
KNNBaseline,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06613325928871526,0.05111660788438317,0.1630393079346505,0.023303356749169724,Low
SVD,3,10,0.5762799557489439,0.7200631489399875,0.1437831931910436,0.13482260260761986,0.03002769127690322,0.16615542360383018,0.0689718291469894,High
SVDpp,10,10,0.6863545546581611,0.7197163727093608,0.033361818051199754,0.11563197503957548,0.044169708950095296,0.15886762423796175,0.033361818051199754,Low
