Model,Best_Iteration,Total_Iterations,Best_Train_RMSE,Best_Val_RMSE,Best_Overfitting_Score,Mean_Overfitting_Score,Std_Overfitting_Score,Max_Overfitting_Score,Min_Overfitting_Score,Overfitting_Severity
KNNBasic,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06773176077590809,0.05206961645789991,0.15987319703322556,0.023303356749169724,Low
KNNWithMeans,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.023303356749169724,0.0,0.023303356749169724,0.023303356749169724,Low
KNNBaseline,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06613325928871526,0.05111660788438317,0.1630393079346505,0.023303356749169724,Low
SVD,10,10,0.6613174272961985,0.7194444500914816,0.058127022795283145,0.13171735318778738,0.034627979499729226,0.1678123747999607,0.058127022795283145,Moderate
SVDpp,1,10,0.6729442477015356,0.7193816804117613,0.04643743271022571,0.11971396260204506,0.04903209535559323,0.1719221248155256,0.034387249962579136,Low
