Model,Best_Iteration,Total_Iterations,Best_Train_RMSE,Best_Val_RMSE,Best_Overfitting_Score,Mean_Overfitting_Score,Std_Overfitting_Score,Max_Overfitting_Score,Min_Overfitting_Score,Overfitting_Severity
KNNBasic,7,10,1.1933796882325611,0.9091369723937835,-0.2842427158387776,-0.27636771817800115,0.026011625354244172,-0.2277200107319136,-0.31095549462322103,None/Underfitting
KNNWithMeans,7,10,1.3251643320065338,0.8965486988233634,-0.4286156331831704,-0.40956266075181896,0.017118903424586683,-0.3855263771709895,-0.4292406742371524,None/Underfitting
KNNBaseline,7,10,1.1861534226254966,0.8611694290270447,-0.32498399359845187,-0.3446236304586795,0.03364211525861928,-0.29656466113504387,-0.3879934035319267,None/Underfitting
SVD,6,10,1.1860080134488913,0.8579816866853233,-0.328026326763568,-0.26763011255277624,0.04355873962989967,-0.20632282383604328,-0.328026326763568,None/Underfitting
SVDpp,6,10,1.1781676000190668,0.8570127117766486,-0.3211548882424182,-0.2703128371515802,0.04416586833346428,-0.20468221531665876,-0.3211548882424182,None/Underfitting
