Model,Best_Iteration,Total_Iterations,Best_Train_RMSE,Best_Val_RMSE,Best_Overfitting_Score,Mean_Overfitting_Score,Std_Overfitting_Score,Max_Overfitting_Score,Min_Overfitting_Score,Overfitting_Severity
KNNBasic,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06773176077590809,0.05206961645789991,0.15987319703322556,0.023303356749169724,Low
KNNWithMeans,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.023303356749169724,0.0,0.023303356749169724,0.023303356749169724,Low
KNNBaseline,1,10,0.6975372019814772,0.7208405587306469,0.023303356749169724,0.06613325928871526,0.05111660788438317,0.1630393079346505,0.023303356749169724,Low
SVD,10,10,0.6429997969250834,0.7194387288795459,0.0764389319544625,0.13508494011908728,0.029621877670031854,0.1638514282583543,0.0764389319544625,Moderate
SVDpp,3,10,0.5914758746173339,0.719550687112929,0.12807481249559516,0.11794824159189073,0.04764973970717862,0.1641674302402154,0.03328666154181792,High
